StudentID,Name,Age,Grade,Math,English,Science,GPA,Attendance,Average_Score,Performance
101,Leo,20,A,85.5,80.0,88.0,3.5,92,84.5,Good
102,Alice,25,A,92.0,88.5,95.5,3.9,96,92.0,Excellent
103,Bob,23,B,78.5,85.0,82.0,3.2,85,81.83333333333333,Good
104,Carol,28,A,88.0,92.0,89.5,3.7,93,89.83333333333333,Good
105,David,21,A,95.5,89.5,92.0,3.8,94,92.33333333333333,Excellent
106,Eve,22,B,72.0,76.0,75.5,2.8,78,74.5,Fair
107,Frank,24,A,89.0,91.0,87.5,3.6,91,89.16666666666667,Good
108,Grace,26,A,94.0,93.0,96.0,3.9,97,94.33333333333333,Excellent
109,Henry,20,C,65.0,68.0,64.5,2.3,70,65.83333333333333,Needs Improvement
110,Iris,23,B,80.0,82.0,81.0,3.3,88,81.0,Good
